product_sku,competitor_name,competitor_price,product_url,availability,rating,review_count,scraped_at
WM-001,TechMart,32.99,https://techmart.example.com/wireless-mouse,In Stock,4.5,1250,2024-03-15
WM-001,GadgetHub,28.99,https://gadgethub.example.com/wm-pro,In Stock,4.3,890,2024-03-15
WM-001,ElectroWorld,31.49,https://electroworld.example.com/mouse-wireless,In Stock,4.6,2100,2024-03-15
WM-001,BuyNow,29.99,https://buynow.example.com/mouse-wm,Limited Stock,4.4,670,2024-03-15
KB-002,TechMart,64.99,https://techmart.example.com/bluetooth-keyboard,In Stock,4.7,2450,2024-03-15
KB-002,GadgetHub,57.99,https://gadgethub.example.com/kb-mechanical,In Stock,4.5,1820,2024-03-15
KB-002,ElectroWorld,62.49,https://electroworld.example.com/keyboard-rgb,In Stock,4.6,1950,2024-03-15
KB-002,BuyNow,59.99,https://buynow.example.com/keyboard-bt,In Stock,4.4,1230,2024-03-15
CB-003,TechMart,16.99,https://techmart.example.com/usbc-cable,In Stock,4.2,3200,2024-03-15
CB-003,GadgetHub,12.99,https://gadgethub.example.com/cable-usbc,In Stock,4.0,2890,2024-03-15
CB-003,ElectroWorld,15.49,https://electroworld.example.com/usbc-2m,In Stock,4.3,4100,2024-03-15
CB-003,BuyNow,14.99,https://buynow.example.com/cable-fast,In Stock,4.1,1890,2024-03-15
LS-004,TechMart,44.99,https://techmart.example.com/laptop-stand,In Stock,4.8,890,2024-03-15
LS-004,GadgetHub,37.99,https://gadgethub.example.com/stand-aluminum,In Stock,4.6,1120,2024-03-15
LS-004,ElectroWorld,42.49,https://electroworld.example.com/laptop-riser,In Stock,4.7,1450,2024-03-15
LS-004,BuyNow,39.99,https://buynow.example.com/stand-adjustable,In Stock,4.5,780,2024-03-15
WC-005,TechMart,84.99,https://techmart.example.com/webcam-hd,In Stock,4.6,1650,2024-03-15
WC-005,GadgetHub,74.99,https://gadgethub.example.com/webcam-1080p,In Stock,4.4,1220,2024-03-15
WC-005,ElectroWorld,82.49,https://electroworld.example.com/hd-webcam,Limited Stock,4.7,1890,2024-03-15
WC-005,BuyNow,79.99,https://buynow.example.com/webcam-pro,In Stock,4.5,990,2024-03-15
PC-006,TechMart,22.99,https://techmart.example.com/phone-case,In Stock,4.3,5200,2024-03-15
PC-006,GadgetHub,17.99,https://gadgethub.example.com/case-silicone,In Stock,4.1,4890,2024-03-15
PC-006,ElectroWorld,21.49,https://electroworld.example.com/protective-case,In Stock,4.4,6100,2024-03-15
PC-006,BuyNow,19.99,https://buynow.example.com/phone-protect,In Stock,4.2,3890,2024-03-15
SP-007,TechMart,14.99,https://techmart.example.com/screen-protector,In Stock,4.5,8200,2024-03-15
SP-007,GadgetHub,11.99,https://gadgethub.example.com/tempered-glass,In Stock,4.3,7890,2024-03-15
SP-007,ElectroWorld,13.49,https://electroworld.example.com/glass-protector,In Stock,4.6,9100,2024-03-15
SP-007,BuyNow,12.99,https://buynow.example.com/screen-shield,In Stock,4.4,5890,2024-03-15
WE-008,TechMart,94.99,https://techmart.example.com/wireless-earbuds,In Stock,4.7,3250,2024-03-15
WE-008,GadgetHub,84.99,https://gadgethub.example.com/anc-earbuds,In Stock,4.5,2820,2024-03-15
WE-008,ElectroWorld,92.49,https://electroworld.example.com/earbuds-pro,In Stock,4.8,3950,2024-03-15
WE-008,BuyNow,89.99,https://buynow.example.com/wireless-buds,Limited Stock,4.6,2230,2024-03-15
PB-009,TechMart,54.99,https://techmart.example.com/power-bank,In Stock,4.6,2890,2024-03-15
PB-009,GadgetHub,46.99,https://gadgethub.example.com/portable-charger,In Stock,4.4,2220,2024-03-15
PB-009,ElectroWorld,52.49,https://electroworld.example.com/power-bank-20k,In Stock,4.7,3450,2024-03-15
PB-009,BuyNow,49.99,https://buynow.example.com/fast-charge-bank,In Stock,4.5,1780,2024-03-15
MP-010,TechMart,27.99,https://techmart.example.com/gaming-mousepad,In Stock,4.5,1650,2024-03-15
MP-010,GadgetHub,22.99,https://gadgethub.example.com/rgb-pad,In Stock,4.3,1220,2024-03-15
MP-010,ElectroWorld,26.49,https://electroworld.example.com/gaming-pad-rgb,In Stock,4.6,1890,2024-03-15
MP-010,BuyNow,24.99,https://buynow.example.com/mouse-pad-xl,In Stock,4.4,990,2024-03-15

